model,outcome,term,estimate,std_error,t_statistic,cluster_df,p_value,conf_low,conf_high
ROLLING7_SEPARATE_UPDATE_LPM,any_price_update_5m,yes_price_t,-0.16497992646499357,0.23129066872523246,-0.7133012644837203,102,0.47728818880118307,-0.6237438712158474,0.2937840182858602
ROLLING7_SEPARATE_UPDATE_LPM,any_price_update_5m,log_lagged_30m_volume,0.004454887401688423,0.0011030642520695755,4.03864724410218,102,0.00010427249668734447,0.00226696468789205,0.006642810115484796
ROLLING7_SEPARATE_UPDATE_LPM,any_price_update_5m,log_minutes_to_kickoff,-0.01852285898065606,0.0031651519291473564,-5.8521231824868,102,5.924310639193818e-08,-0.02480092282453912,-0.012244795136773
ROLLING7_SEPARATE_CONDITIONAL_NONZERO,delta_yes_price,rolling7_signed_log_large_net_flow,0.00034872145340774003,2.779141658839679e-05,12.547811382645925,101,2.495044547422068e-22,0.00029359075870723705,0.000403852148108243
ROLLING7_SEPARATE_CONDITIONAL_NONZERO,delta_yes_price,rolling7_signed_log_ordinary_net_flow,0.00017514939148683333,3.1186184416897785e-05,5.616249463077348,101,1.7265038785270394e-07,0.00011328439059733537,0.00023701439237633131
ROLLING7_SEPARATE_CONDITIONAL_NONZERO,delta_yes_price,lagged_30m_price_change,0.10363207899807571,0.02601089479959634,3.984179698411758,101,0.00012797476383683113,0.05203346057132892,0.15523069742482248
ROLLING7_SEPARATE_CONDITIONAL_NONZERO,delta_yes_price,yes_price_t,-0.09414265279342524,0.0320669190431109,-2.935818457234992,101,0.004119504250149117,-0.15775479426625674,-0.03053051132059373
ROLLING7_SEPARATE_CONDITIONAL_NONZERO,delta_yes_price,log_lagged_30m_volume,-6.539646513349691e-05,7.140451070612455e-05,-0.915859019084178,101,0.3619224014135848,-0.00020704380676709016,7.625087650009634e-05
ROLLING7_SEPARATE_CONDITIONAL_NONZERO,delta_yes_price,log_minutes_to_kickoff,0.0003486650441095068,0.00019818966970245192,1.7592493323843168,101,0.08156343214817192,-4.448994813084075e-05,0.0007418200363498544
EXPANDING_COMMON_DIRECTIONAL,delta_yes_price,expanding_signed_log_large_net_flow,0.00010052374902183406,8.481680792575823e-06,11.851866567511527,102,6.815229048962766e-21,8.370037538568383e-05,0.00011734712265798429
EXPANDING_COMMON_DIRECTIONAL,delta_yes_price,expanding_signed_log_ordinary_net_flow,2.360117164609706e-05,3.231092031263552e-06,7.304394742624393,102,6.340719160643416e-11,1.7192315922321792e-05,3.001002736987233e-05
