specification,event_id,market_id,large_action,dynamic_high_activity,actions,any_next,same_next,source_transaction_actions,any_next_action_5m,same_direction_given_next_5m
rolling_7d,71,1897443,0,0.0,2368,137,62,2744,0.05785472972972973,0.45255474452554745
rolling_7d,71,1897443,0,1.0,372,81,49,963,0.21774193548387097,0.6049382716049383
rolling_7d,71,1897443,1,0.0,10,0,0,18,0.0,
rolling_7d,71,1897443,1,1.0,12,2,2,28,0.16666666666666666,1.0
expanding,71,1897444,0,0.0,3511,161,87,4105,0.045855881515237826,0.5403726708074534
expanding,71,1897444,0,1.0,582,199,139,2101,0.34192439862542956,0.6984924623115578
expanding,71,1897444,1,0.0,4,0,0,4,0.0,
expanding,71,1897444,1,1.0,25,5,5,49,0.2,1.0
rolling_7d,71,1897444,0,0.0,3590,170,90,4192,0.04735376044568245,0.5294117647058824
rolling_7d,71,1897444,0,1.0,503,190,136,2014,0.37773359840954274,0.7157894736842105
rolling_7d,71,1897444,1,0.0,5,0,0,6,0.0,
rolling_7d,71,1897444,1,1.0,24,5,5,47,0.20833333333333334,1.0
expanding,71,1897445,0,0.0,4472,177,119,5306,0.03957960644007156,0.672316384180791
expanding,71,1897445,0,1.0,623,205,158,2778,0.3290529695024077,0.7707317073170732
expanding,71,1897445,1,0.0,5,0,0,7,0.0,
expanding,71,1897445,1,1.0,25,5,4,485,0.2,0.8
rolling_7d,71,1897445,0,0.0,4543,184,126,5410,0.04050187101034559,0.6847826086956522
rolling_7d,71,1897445,0,1.0,552,198,151,2674,0.358695652173913,0.7626262626262627
rolling_7d,71,1897445,1,0.0,8,0,0,10,0.0,
rolling_7d,71,1897445,1,1.0,22,5,4,482,0.22727272727272727,0.8
expanding,73,2680253,0,0.0,4103,191,84,4357,0.04655130392395808,0.4397905759162304
expanding,73,2680253,0,1.0,605,353,255,1331,0.5834710743801653,0.7223796033994334
expanding,73,2680253,1,0.0,4,1,1,4,0.25,1.0
expanding,73,2680253,1,1.0,20,0,0,25,0.0,
rolling_7d,73,2680253,0,0.0,4181,202,86,4437,0.04831380052618991,0.42574257425742573
rolling_7d,73,2680253,0,1.0,527,342,253,1251,0.6489563567362429,0.7397660818713451
rolling_7d,73,2680253,1,0.0,6,1,1,6,0.16666666666666666,1.0
rolling_7d,73,2680253,1,1.0,18,0,0,23,0.0,
expanding,73,2680256,0,0.0,2432,132,85,2887,0.054276315789473686,0.6439393939393939
expanding,73,2680256,0,1.0,524,304,225,942,0.5801526717557252,0.7401315789473685
expanding,73,2680256,1,0.0,5,0,0,7,0.0,
