specification,event_id,market_id,large_action,dynamic_high_activity,actions,any_next,same_next,source_transaction_actions,any_next_action_5m,same_direction_given_next_5m
rolling_7d,14,1897074,0,1.0,424,276,213,789,0.6509433962264151,0.7717391304347826
rolling_7d,14,1897074,1,0.0,10,0,0,10,0.0,
rolling_7d,14,1897074,1,1.0,9,2,1,23,0.2222222222222222,0.5
expanding,14,1897075,0,0.0,2719,117,62,3107,0.04303052592865024,0.5299145299145299
expanding,14,1897075,0,1.0,430,252,166,722,0.586046511627907,0.6587301587301587
expanding,14,1897075,1,0.0,12,0,0,13,0.0,
expanding,14,1897075,1,1.0,17,4,2,25,0.23529411764705882,0.5
rolling_7d,14,1897075,0,0.0,2719,117,62,3107,0.04303052592865024,0.5299145299145299
rolling_7d,14,1897075,0,1.0,430,252,166,722,0.586046511627907,0.6587301587301587
rolling_7d,14,1897075,1,0.0,13,0,0,14,0.0,
rolling_7d,14,1897075,1,1.0,16,4,2,24,0.25,0.5
expanding,15,1897076,0,0.0,3471,166,89,3618,0.04782483434168827,0.536144578313253
expanding,15,1897076,0,1.0,464,278,203,768,0.5991379310344828,0.7302158273381295
expanding,15,1897076,1,0.0,12,0,0,16,0.0,
expanding,15,1897076,1,1.0,13,1,0,20,0.07692307692307693,0.0
rolling_7d,15,1897076,0,0.0,3472,166,89,3619,0.0478110599078341,0.536144578313253
rolling_7d,15,1897076,0,1.0,463,278,203,767,0.6004319654427646,0.7302158273381295
rolling_7d,15,1897076,1,0.0,13,0,0,17,0.0,
rolling_7d,15,1897076,1,1.0,12,1,0,19,0.08333333333333333,0.0
expanding,15,1897077,0,0.0,2632,135,85,2845,0.051291793313069906,0.6296296296296297
expanding,15,1897077,0,1.0,409,237,179,996,0.5794621026894865,0.7552742616033755
expanding,15,1897077,1,0.0,12,0,0,40,0.0,
expanding,15,1897077,1,1.0,19,6,6,38,0.3157894736842105,1.0
rolling_7d,15,1897077,0,0.0,2632,135,85,2845,0.051291793313069906,0.6296296296296297
rolling_7d,15,1897077,0,1.0,409,237,179,996,0.5794621026894865,0.7552742616033755
rolling_7d,15,1897077,1,0.0,12,0,0,40,0.0,
rolling_7d,15,1897077,1,1.0,19,6,6,38,0.3157894736842105,1.0
expanding,15,1897078,0,0.0,6484,356,199,7486,0.054904380012338064,0.5589887640449438
expanding,15,1897078,0,1.0,745,478,344,1198,0.6416107382550336,0.7196652719665272
expanding,15,1897078,1,0.0,29,1,1,65,0.034482758620689655,1.0
expanding,15,1897078,1,1.0,36,9,7,183,0.25,0.7777777777777778
rolling_7d,15,1897078,0,0.0,6485,357,200,7487,0.05505011565150347,0.5602240896358543
rolling_7d,15,1897078,0,1.0,744,477,343,1197,0.6411290322580645,0.7190775681341719
rolling_7d,15,1897078,1,0.0,30,1,1,66,0.03333333333333333,1.0
rolling_7d,15,1897078,1,1.0,35,9,7,182,0.2571428571428571,0.7777777777777778
expanding,16,1897079,0,0.0,7334,470,283,8402,0.06408508317425689,0.6021276595744681
expanding,16,1897079,0,1.0,1089,718,494,2300,0.6593204775022957,0.6880222841225627
expanding,16,1897079,1,0.0,31,1,1,36,0.03225806451612903,1.0
expanding,16,1897079,1,1.0,38,13,12,183,0.34210526315789475,0.9230769230769231
rolling_7d,16,1897079,0,0.0,7336,471,284,8404,0.06420392584514723,0.6029723991507431
rolling_7d,16,1897079,0,1.0,1087,717,493,2298,0.6596136154553818,0.6875871687587168
rolling_7d,16,1897079,1,0.0,31,1,1,36,0.03225806451612903,1.0
rolling_7d,16,1897079,1,1.0,38,13,12,183,0.34210526315789475,0.9230769230769231
expanding,16,1897080,0,0.0,2675,143,67,2839,0.05345794392523365,0.46853146853146854
expanding,16,1897080,0,1.0,345,158,110,570,0.4579710144927536,0.6962025316455697
expanding,16,1897080,1,0.0,5,0,0,6,0.0,
expanding,16,1897080,1,1.0,8,0,0,17,0.0,
rolling_7d,16,1897080,0,0.0,2675,143,67,2839,0.05345794392523365,0.46853146853146854
rolling_7d,16,1897080,0,1.0,345,158,110,570,0.4579710144927536,0.6962025316455697
rolling_7d,16,1897080,1,0.0,5,0,0,6,0.0,
rolling_7d,16,1897080,1,1.0,8,0,0,17,0.0,
expanding,16,1897081,0,0.0,3283,157,57,3446,0.04782211392019494,0.3630573248407643
expanding,16,1897081,0,1.0,566,328,267,1313,0.5795053003533569,0.8140243902439024
expanding,16,1897081,1,0.0,10,1,1,10,0.1,1.0
expanding,16,1897081,1,1.0,19,2,1,35,0.10526315789473684,0.5
rolling_7d,16,1897081,0,0.0,3283,157,57,3446,0.04782211392019494,0.3630573248407643
rolling_7d,16,1897081,0,1.0,566,328,267,1313,0.5795053003533569,0.8140243902439024
rolling_7d,16,1897081,1,0.0,10,1,1,10,0.1,1.0
rolling_7d,16,1897081,1,1.0,19,2,1,35,0.10526315789473684,0.5
expanding,17,1897082,0,0.0,16533,910,415,18021,0.05504143228694127,0.45604395604395603
expanding,17,1897082,0,1.0,1690,1067,619,4905,0.6313609467455621,0.5801312089971884
expanding,17,1897082,1,0.0,92,9,7,109,0.09782608695652174,0.7777777777777778
expanding,17,1897082,1,1.0,60,15,12,342,0.25,0.8
rolling_7d,17,1897082,0,0.0,16536,910,415,18024,0.055031446540880505,0.45604395604395603
rolling_7d,17,1897082,0,1.0,1687,1067,619,4902,0.6324836988737403,0.5801312089971884
rolling_7d,17,1897082,1,0.0,92,9,7,109,0.09782608695652174,0.7777777777777778
rolling_7d,17,1897082,1,1.0,60,15,12,342,0.25,0.8
expanding,17,1897083,0,0.0,4713,153,65,4798,0.032463399108847865,0.42483660130718953
expanding,17,1897083,0,1.0,853,585,432,1671,0.6858147713950762,0.7384615384615385
expanding,17,1897083,1,0.0,14,2,2,14,0.14285714285714285,1.0
expanding,17,1897083,1,1.0,19,3,3,41,0.15789473684210525,1.0
rolling_7d,17,1897083,0,0.0,4713,153,65,4798,0.032463399108847865,0.42483660130718953
rolling_7d,17,1897083,0,1.0,853,585,432,1671,0.6858147713950762,0.7384615384615385
rolling_7d,17,1897083,1,0.0,14,2,2,14,0.14285714285714285,1.0
rolling_7d,17,1897083,1,1.0,19,3,3,41,0.15789473684210525,1.0
expanding,17,1897084,0,0.0,3940,164,82,4080,0.0416243654822335,0.5
expanding,17,1897084,0,1.0,684,461,289,1365,0.6739766081871345,0.6268980477223427
expanding,17,1897084,1,0.0,19,2,2,22,0.10526315789473684,1.0
expanding,17,1897084,1,1.0,16,1,1,19,0.0625,1.0
rolling_7d,17,1897084,0,0.0,3941,164,82,4081,0.04161380360314641,0.5
rolling_7d,17,1897084,0,1.0,683,461,289,1364,0.6749633967789166,0.6268980477223427
rolling_7d,17,1897084,1,0.0,19,2,2,22,0.10526315789473684,1.0
rolling_7d,17,1897084,1,1.0,16,1,1,19,0.0625,1.0
expanding,18,1897085,0,0.0,3484,119,64,3656,0.03415614236509759,0.5378151260504201
expanding,18,1897085,0,1.0,535,309,257,851,0.577570093457944,0.8317152103559871
expanding,18,1897085,1,0.0,13,0,0,14,0.0,
expanding,18,1897085,1,1.0,14,1,0,706,0.07142857142857142,0.0
rolling_7d,18,1897085,0,0.0,3484,119,64,3656,0.03415614236509759,0.5378151260504201
rolling_7d,18,1897085,0,1.0,535,309,257,851,0.577570093457944,0.8317152103559871
rolling_7d,18,1897085,1,0.0,13,0,0,14,0.0,
rolling_7d,18,1897085,1,1.0,14,1,0,706,0.07142857142857142,0.0
expanding,18,1897086,0,0.0,4267,173,118,4626,0.040543707522849776,0.6820809248554913
expanding,18,1897086,0,1.0,614,378,304,1153,0.6156351791530945,0.8042328042328042
expanding,18,1897086,1,0.0,9,0,0,11,0.0,
expanding,18,1897086,1,1.0,8,1,1,23,0.125,1.0
rolling_7d,18,1897086,0,0.0,4267,173,118,4626,0.040543707522849776,0.6820809248554913
rolling_7d,18,1897086,0,1.0,614,378,304,1153,0.6156351791530945,0.8042328042328042
rolling_7d,18,1897086,1,0.0,9,0,0,11,0.0,
rolling_7d,18,1897086,1,1.0,8,1,1,23,0.125,1.0
expanding,18,1897087,0,0.0,5100,210,106,5533,0.041176470588235294,0.5047619047619047
expanding,18,1897087,0,1.0,515,225,166,855,0.4368932038834951,0.7377777777777778
expanding,18,1897087,1,0.0,21,1,1,25,0.047619047619047616,1.0
expanding,18,1897087,1,1.0,17,2,1,18,0.11764705882352941,0.5
rolling_7d,18,1897087,0,0.0,5100,210,106,5533,0.041176470588235294,0.5047619047619047
rolling_7d,18,1897087,0,1.0,515,225,166,855,0.4368932038834951,0.7377777777777778
rolling_7d,18,1897087,1,0.0,21,1,1,25,0.047619047619047616,1.0
rolling_7d,18,1897087,1,1.0,17,2,1,18,0.11764705882352941,0.5
expanding,19,1897088,0,0.0,12479,613,342,13431,0.04912252584341694,0.5579119086460033
expanding,19,1897088,0,1.0,1545,1029,673,3577,0.6660194174757281,0.6540330417881438
expanding,19,1897088,1,0.0,39,1,1,42,0.02564102564102564,1.0
expanding,19,1897088,1,1.0,47,10,6,842,0.2127659574468085,0.6
rolling_7d,19,1897088,0,0.0,12481,613,342,13433,0.04911465427449724,0.5579119086460033
rolling_7d,19,1897088,0,1.0,1543,1029,673,3575,0.6668826960466624,0.6540330417881438
rolling_7d,19,1897088,1,0.0,39,1,1,42,0.02564102564102564,1.0
rolling_7d,19,1897088,1,1.0,47,10,6,842,0.2127659574468085,0.6
expanding,19,1897089,0,0.0,3636,121,74,3805,0.033278327832783276,0.6115702479338843
expanding,19,1897089,0,1.0,716,433,281,1341,0.6047486033519553,0.648960739030023
expanding,19,1897089,1,0.0,15,1,1,15,0.06666666666666667,1.0
expanding,19,1897089,1,1.0,10,6,3,23,0.6,0.5
rolling_7d,19,1897089,0,0.0,3639,121,74,3808,0.033250893102500685,0.6115702479338843
rolling_7d,19,1897089,0,1.0,713,433,281,1338,0.6072931276297335,0.648960739030023
rolling_7d,19,1897089,1,0.0,15,1,1,15,0.06666666666666667,1.0
rolling_7d,19,1897089,1,1.0,10,6,3,23,0.6,0.5
expanding,19,1897090,0,0.0,2927,179,54,3150,0.061154765971984965,0.3016759776536313
expanding,19,1897090,0,1.0,602,310,217,800,0.5149501661129569,0.7
expanding,19,1897090,1,0.0,9,0,0,9,0.0,
expanding,19,1897090,1,1.0,12,4,3,17,0.3333333333333333,0.75
rolling_7d,19,1897090,0,0.0,2928,179,54,3151,0.061133879781420764,0.3016759776536313
rolling_7d,19,1897090,0,1.0,601,310,217,799,0.5158069883527454,0.7
rolling_7d,19,1897090,1,0.0,9,0,0,9,0.0,
rolling_7d,19,1897090,1,1.0,12,4,3,17,0.3333333333333333,0.75
expanding,20,1897091,0,0.0,4776,221,101,4995,0.046273031825795646,0.45701357466063347
expanding,20,1897091,0,1.0,506,230,141,1327,0.45454545454545453,0.6130434782608696
expanding,20,1897091,1,0.0,19,0,0,21,0.0,
expanding,20,1897091,1,1.0,20,3,1,687,0.15,0.3333333333333333
rolling_7d,20,1897091,0,0.0,4786,222,102,5005,0.04638529043042206,0.4594594594594595
rolling_7d,20,1897091,0,1.0,496,229,140,1317,0.46169354838709675,0.611353711790393
rolling_7d,20,1897091,1,0.0,19,0,0,21,0.0,
rolling_7d,20,1897091,1,1.0,20,3,1,687,0.15,0.3333333333333333
expanding,20,1897092,0,0.0,2728,78,45,2863,0.028592375366568914,0.5769230769230769
expanding,20,1897092,0,1.0,446,181,125,1016,0.40582959641255606,0.6906077348066298
expanding,20,1897092,1,0.0,9,0,0,9,0.0,
expanding,20,1897092,1,1.0,7,0,0,16,0.0,
rolling_7d,20,1897092,0,0.0,2730,78,45,2865,0.02857142857142857,0.5769230769230769
rolling_7d,20,1897092,0,1.0,444,181,125,1014,0.40765765765765766,0.6906077348066298
rolling_7d,20,1897092,1,0.0,10,0,0,11,0.0,
rolling_7d,20,1897092,1,1.0,6,0,0,14,0.0,
expanding,20,1897093,0,0.0,1960,61,33,2160,0.031122448979591835,0.5409836065573771
expanding,20,1897093,0,1.0,366,178,130,1108,0.48633879781420764,0.7303370786516854
expanding,20,1897093,1,0.0,7,0,0,7,0.0,
expanding,20,1897093,1,1.0,15,0,0,277,0.0,
rolling_7d,20,1897093,0,0.0,1960,61,33,2160,0.031122448979591835,0.5409836065573771
rolling_7d,20,1897093,0,1.0,366,178,130,1108,0.48633879781420764,0.7303370786516854
rolling_7d,20,1897093,1,0.0,7,0,0,7,0.0,
rolling_7d,20,1897093,1,1.0,15,0,0,277,0.0,
expanding,21,1897094,0,0.0,15169,935,449,17601,0.06163886874546773,0.4802139037433155
expanding,21,1897094,0,1.0,1206,688,374,3844,0.5704809286898839,0.5436046511627907
expanding,21,1897094,1,0.0,94,3,3,107,0.031914893617021274,1.0
expanding,21,1897094,1,1.0,56,17,6,3192,0.30357142857142855,0.35294117647058826
rolling_7d,21,1897094,0,0.0,15192,936,450,17624,0.061611374407582936,0.4807692307692308
rolling_7d,21,1897094,0,1.0,1183,687,373,3821,0.5807269653423499,0.5429403202328966
rolling_7d,21,1897094,1,0.0,95,3,3,108,0.031578947368421054,1.0
rolling_7d,21,1897094,1,1.0,55,17,6,3191,0.3090909090909091,0.35294117647058826
expanding,21,1897095,0,0.0,2764,81,34,2866,0.02930535455861071,0.41975308641975306
expanding,21,1897095,0,1.0,494,297,200,722,0.6012145748987854,0.6734006734006734
expanding,21,1897095,1,0.0,5,0,0,5,0.0,
expanding,21,1897095,1,1.0,12,0,0,18,0.0,
rolling_7d,21,1897095,0,0.0,2767,81,34,2869,0.029273581496205278,0.41975308641975306
rolling_7d,21,1897095,0,1.0,491,297,200,719,0.604887983706721,0.6734006734006734
rolling_7d,21,1897095,1,0.0,5,0,0,5,0.0,
rolling_7d,21,1897095,1,1.0,12,0,0,18,0.0,
expanding,21,1897096,0,0.0,2320,122,47,2478,0.052586206896551725,0.38524590163934425
expanding,21,1897096,0,1.0,414,230,158,601,0.5555555555555556,0.6869565217391305
expanding,21,1897096,1,0.0,15,1,0,15,0.06666666666666667,0.0
expanding,21,1897096,1,1.0,23,3,2,91,0.13043478260869565,0.6666666666666666
rolling_7d,21,1897096,0,0.0,2320,122,47,2478,0.052586206896551725,0.38524590163934425
rolling_7d,21,1897096,0,1.0,414,230,158,601,0.5555555555555556,0.6869565217391305
rolling_7d,21,1897096,1,0.0,15,1,0,15,0.06666666666666667,0.0
rolling_7d,21,1897096,1,1.0,23,3,2,91,0.13043478260869565,0.6666666666666666
expanding,22,1897097,0,0.0,10892,759,424,12180,0.06968417186926185,0.5586297760210803
expanding,22,1897097,0,1.0,1188,753,517,2388,0.6338383838383839,0.6865869853917662
expanding,22,1897097,1,0.0,44,4,3,53,0.09090909090909091,0.75
expanding,22,1897097,1,1.0,39,5,2,668,0.1282051282051282,0.4
rolling_7d,22,1897097,0,0.0,10897,759,424,12185,0.06965219785261999,0.5586297760210803
rolling_7d,22,1897097,0,1.0,1183,753,517,2383,0.6365173288250211,0.6865869853917662
rolling_7d,22,1897097,1,0.0,44,4,3,53,0.09090909090909091,0.75
rolling_7d,22,1897097,1,1.0,39,5,2,668,0.1282051282051282,0.4
expanding,22,1897098,0,0.0,5647,146,78,5979,0.025854435983708162,0.5342465753424658
expanding,22,1897098,0,1.0,713,415,310,1273,0.5820476858345021,0.7469879518072289
expanding,22,1897098,1,0.0,9,1,0,9,0.1111111111111111,0.0
expanding,22,1897098,1,1.0,16,3,2,630,0.1875,0.6666666666666666
rolling_7d,22,1897098,0,0.0,5658,146,78,5990,0.025804171085189113,0.5342465753424658
rolling_7d,22,1897098,0,1.0,702,415,310,1262,0.5911680911680912,0.7469879518072289
rolling_7d,22,1897098,1,0.0,9,1,0,9,0.1111111111111111,0.0
rolling_7d,22,1897098,1,1.0,16,3,2,630,0.1875,0.6666666666666666
expanding,22,1897099,0,0.0,5153,147,70,5309,0.02852707160877159,0.47619047619047616
expanding,22,1897099,0,1.0,619,312,232,2557,0.5040387722132472,0.7435897435897436
expanding,22,1897099,1,0.0,26,0,0,28,0.0,
expanding,22,1897099,1,1.0,12,1,1,22,0.08333333333333333,1.0
rolling_7d,22,1897099,0,0.0,5158,147,70,5314,0.02849941837921675,0.47619047619047616
rolling_7d,22,1897099,0,1.0,614,312,232,2552,0.50814332247557,0.7435897435897436
rolling_7d,22,1897099,1,0.0,26,0,0,28,0.0,
rolling_7d,22,1897099,1,1.0,12,1,1,22,0.08333333333333333,1.0
expanding,23,1897100,0,0.0,6715,321,139,7000,0.04780342516753537,0.43302180685358255
expanding,23,1897100,0,1.0,881,501,343,3379,0.5686719636776391,0.6846307385229541
expanding,23,1897100,1,0.0,26,2,1,38,0.07692307692307693,0.5
expanding,23,1897100,1,1.0,29,5,4,464,0.1724137931034483,0.8
rolling_7d,23,1897100,0,0.0,6743,335,150,7038,0.04968115082307578,0.44776119402985076
rolling_7d,23,1897100,0,1.0,853,487,332,3341,0.570926143024619,0.6817248459958932
rolling_7d,23,1897100,1,0.0,26,2,1,38,0.07692307692307693,0.5
rolling_7d,23,1897100,1,1.0,29,5,4,464,0.1724137931034483,0.8
expanding,23,1897101,0,0.0,3304,162,87,3414,0.04903147699757869,0.5370370370370371
expanding,23,1897101,0,1.0,504,288,227,1584,0.5714285714285714,0.7881944444444444
expanding,23,1897101,1,0.0,5,0,0,10,0.0,
expanding,23,1897101,1,1.0,6,0,0,13,0.0,
rolling_7d,23,1897101,0,0.0,3308,162,87,3418,0.04897218863361548,0.5370370370370371
rolling_7d,23,1897101,0,1.0,500,288,227,1580,0.576,0.7881944444444444
rolling_7d,23,1897101,1,0.0,5,0,0,10,0.0,
rolling_7d,23,1897101,1,1.0,6,0,0,13,0.0,
expanding,23,1897102,0,0.0,2641,100,45,2691,0.03786444528587656,0.45
expanding,23,1897102,0,1.0,468,212,163,2129,0.452991452991453,0.7688679245283019
expanding,23,1897102,1,0.0,19,1,1,20,0.05263157894736842,1.0
expanding,23,1897102,1,1.0,23,4,2,780,0.17391304347826086,0.5
rolling_7d,23,1897102,0,0.0,2663,115,60,2756,0.04318437852046564,0.5217391304347826
rolling_7d,23,1897102,0,1.0,446,197,148,2064,0.44170403587443946,0.751269035532995
rolling_7d,23,1897102,1,0.0,19,1,1,20,0.05263157894736842,1.0
rolling_7d,23,1897102,1,1.0,23,4,2,780,0.17391304347826086,0.5
expanding,24,1897103,0,0.0,2672,103,44,2823,0.038547904191616765,0.42718446601941745
expanding,24,1897103,0,1.0,297,93,74,776,0.31313131313131315,0.7956989247311828
expanding,24,1897103,1,0.0,6,1,1,6,0.16666666666666666,1.0
expanding,24,1897103,1,1.0,15,1,1,36,0.06666666666666667,1.0
rolling_7d,24,1897103,0,0.0,2678,105,46,2836,0.039208364451082896,0.4380952380952381
rolling_7d,24,1897103,0,1.0,291,91,72,763,0.3127147766323024,0.7912087912087912
rolling_7d,24,1897103,1,0.0,6,1,1,6,0.16666666666666666,1.0
rolling_7d,24,1897103,1,1.0,15,1,1,36,0.06666666666666667,1.0
expanding,24,1897104,0,0.0,2661,67,37,2779,0.025178504321683576,0.5522388059701493
expanding,24,1897104,0,1.0,363,136,107,557,0.3746556473829201,0.7867647058823529
expanding,24,1897104,1,0.0,4,0,0,4,0.0,
expanding,24,1897104,1,1.0,12,2,2,25,0.16666666666666666,1.0
rolling_7d,24,1897104,0,0.0,2668,67,37,2786,0.025112443778110945,0.5522388059701493
rolling_7d,24,1897104,0,1.0,356,136,107,550,0.38202247191011235,0.7867647058823529
rolling_7d,24,1897104,1,0.0,4,0,0,4,0.0,
rolling_7d,24,1897104,1,1.0,12,2,2,25,0.16666666666666666,1.0
expanding,24,1897105,0,0.0,6773,358,175,8002,0.05285693193562675,0.4888268156424581
expanding,24,1897105,0,1.0,733,330,231,2493,0.45020463847203274,0.7
expanding,24,1897105,1,0.0,11,0,0,11,0.0,
expanding,24,1897105,1,1.0,52,17,15,538,0.3269230769230769,0.8823529411764706
rolling_7d,24,1897105,0,0.0,6782,359,176,8012,0.05293423768799764,0.49025069637883006
rolling_7d,24,1897105,0,1.0,724,329,230,2483,0.4544198895027624,0.6990881458966566
rolling_7d,24,1897105,1,0.0,11,0,0,11,0.0,
rolling_7d,24,1897105,1,1.0,52,17,15,538,0.3269230769230769,0.8823529411764706
expanding,25,1897106,0,0.0,12434,706,364,13829,0.056779797329901883,0.5155807365439093
expanding,25,1897106,0,1.0,1134,605,371,7958,0.5335097001763669,0.6132231404958678
expanding,25,1897106,1,0.0,64,11,11,143,0.171875,1.0
expanding,25,1897106,1,1.0,75,19,13,2828,0.25333333333333335,0.6842105263157895
rolling_7d,25,1897106,0,0.0,12467,713,370,13863,0.057190984198283466,0.5189340813464236
rolling_7d,25,1897106,0,1.0,1101,598,365,7924,0.5431425976385105,0.6103678929765887
rolling_7d,25,1897106,1,0.0,64,11,11,143,0.171875,1.0
rolling_7d,25,1897106,1,1.0,75,19,13,2828,0.25333333333333335,0.6842105263157895
expanding,25,1897107,0,0.0,3048,174,115,3282,0.05708661417322835,0.6609195402298851
expanding,25,1897107,0,1.0,555,316,228,1102,0.5693693693693693,0.7215189873417721
expanding,25,1897107,1,0.0,21,6,6,33,0.2857142857142857,1.0
expanding,25,1897107,1,1.0,5,2,0,9,0.4,0.0
rolling_7d,25,1897107,0,0.0,3060,174,115,3295,0.056862745098039215,0.6609195402298851
rolling_7d,25,1897107,0,1.0,543,316,228,1089,0.58195211786372,0.7215189873417721
rolling_7d,25,1897107,1,0.0,21,6,6,33,0.2857142857142857,1.0
rolling_7d,25,1897107,1,1.0,5,2,0,9,0.4,0.0
expanding,25,1897108,0,0.0,2357,87,30,2454,0.03691132795927026,0.3448275862068966
expanding,25,1897108,0,1.0,523,301,210,889,0.5755258126195029,0.6976744186046512
expanding,25,1897108,1,0.0,5,1,1,5,0.2,1.0
expanding,25,1897108,1,1.0,10,1,1,33,0.1,1.0
rolling_7d,25,1897108,0,0.0,2362,87,30,2459,0.03683319220999153,0.3448275862068966
rolling_7d,25,1897108,0,1.0,518,301,210,884,0.581081081081081,0.6976744186046512
rolling_7d,25,1897108,1,0.0,5,1,1,5,0.2,1.0
rolling_7d,25,1897108,1,1.0,10,1,1,33,0.1,1.0
expanding,26,1897109,0,0.0,7146,316,164,7877,0.04422054296109712,0.5189873417721519
expanding,26,1897109,0,1.0,833,475,350,2506,0.5702280912364946,0.7368421052631579
expanding,26,1897109,1,0.0,22,3,2,25,0.13636363636363635,0.6666666666666666
expanding,26,1897109,1,1.0,18,5,3,71,0.2777777777777778,0.6
rolling_7d,26,1897109,0,0.0,7198,336,184,7949,0.04667963323145318,0.5476190476190477
rolling_7d,26,1897109,0,1.0,781,455,330,2434,0.5825864276568502,0.7252747252747253
rolling_7d,26,1897109,1,0.0,22,3,2,25,0.13636363636363635,0.6666666666666666
rolling_7d,26,1897109,1,1.0,18,5,3,71,0.2777777777777778,0.6
expanding,26,1897110,0,0.0,3384,74,37,3499,0.02186761229314421,0.5
expanding,26,1897110,0,1.0,437,251,184,751,0.5743707093821511,0.7330677290836654
expanding,26,1897110,1,0.0,6,0,0,9,0.0,
expanding,26,1897110,1,1.0,13,1,1,31,0.07692307692307693,1.0
rolling_7d,26,1897110,0,0.0,3394,75,38,3509,0.022097819681791395,0.5066666666666667
rolling_7d,26,1897110,0,1.0,427,250,183,741,0.585480093676815,0.732
rolling_7d,26,1897110,1,0.0,6,0,0,9,0.0,
rolling_7d,26,1897110,1,1.0,13,1,1,31,0.07692307692307693,1.0
expanding,26,1897111,0,0.0,2994,111,59,3085,0.03707414829659319,0.5315315315315315
expanding,26,1897111,0,1.0,514,309,268,1178,0.6011673151750972,0.8673139158576052
expanding,26,1897111,1,0.0,19,1,1,21,0.05263157894736842,1.0
expanding,26,1897111,1,1.0,13,1,1,22,0.07692307692307693,1.0
rolling_7d,26,1897111,0,0.0,2998,112,59,3090,0.037358238825883926,0.5267857142857143
rolling_7d,26,1897111,0,1.0,510,308,268,1173,0.6039215686274509,0.8701298701298701
rolling_7d,26,1897111,1,0.0,19,1,1,21,0.05263157894736842,1.0
rolling_7d,26,1897111,1,1.0,13,1,1,22,0.07692307692307693,1.0
expanding,27,1897112,0,0.0,5833,433,235,6927,0.07423281330361735,0.5427251732101617
expanding,27,1897112,0,1.0,817,414,285,2967,0.5067319461444308,0.6884057971014492
expanding,27,1897112,1,0.0,13,2,2,52,0.15384615384615385,1.0
expanding,27,1897112,1,1.0,23,3,2,72,0.13043478260869565,0.6666666666666666
rolling_7d,27,1897112,0,0.0,5904,473,275,7067,0.08011517615176152,0.5813953488372093
rolling_7d,27,1897112,0,1.0,746,374,245,2827,0.5013404825737265,0.6550802139037433
rolling_7d,27,1897112,1,0.0,13,2,2,52,0.15384615384615385,1.0
rolling_7d,27,1897112,1,1.0,23,3,2,72,0.13043478260869565,0.6666666666666666
expanding,27,1897113,0,0.0,3672,94,52,3770,0.02559912854030501,0.5531914893617021
expanding,27,1897113,0,1.0,626,346,304,1192,0.5527156549520766,0.8786127167630058
expanding,27,1897113,1,0.0,10,0,0,10,0.0,
expanding,27,1897113,1,1.0,22,3,3,28,0.13636363636363635,1.0
rolling_7d,27,1897113,0,0.0,3682,94,52,3780,0.025529603476371537,0.5531914893617021
rolling_7d,27,1897113,0,1.0,616,346,304,1182,0.5616883116883117,0.8786127167630058
rolling_7d,27,1897113,1,0.0,10,0,0,10,0.0,
rolling_7d,27,1897113,1,1.0,22,3,3,28,0.13636363636363635,1.0
expanding,27,1897114,0,0.0,3802,177,104,4115,0.04655444502893214,0.5875706214689266
expanding,27,1897114,0,1.0,635,311,268,1742,0.48976377952755906,0.8617363344051447
expanding,27,1897114,1,0.0,5,2,2,11,0.4,1.0
expanding,27,1897114,1,1.0,21,4,3,49,0.19047619047619047,0.75
rolling_7d,27,1897114,0,0.0,3811,177,104,4124,0.04644450275518237,0.5875706214689266
rolling_7d,27,1897114,0,1.0,626,311,268,1733,0.4968051118210863,0.8617363344051447
rolling_7d,27,1897114,1,0.0,5,2,2,11,0.4,1.0
rolling_7d,27,1897114,1,1.0,21,4,3,49,0.19047619047619047,0.75
expanding,28,1897115,0,0.0,8648,442,207,9519,0.05111008325624422,0.4683257918552036
expanding,28,1897115,0,1.0,1131,615,390,7160,0.5437665782493368,0.6341463414634146
expanding,28,1897115,1,0.0,35,3,3,40,0.08571428571428572,1.0
expanding,28,1897115,1,1.0,57,14,12,5733,0.24561403508771928,0.8571428571428571
rolling_7d,28,1897115,0,0.0,8661,442,207,9533,0.051033367971365894,0.4683257918552036
rolling_7d,28,1897115,0,1.0,1118,615,390,7146,0.5500894454382826,0.6341463414634146
rolling_7d,28,1897115,1,0.0,38,3,3,43,0.07894736842105263,1.0
rolling_7d,28,1897115,1,1.0,54,14,12,5730,0.25925925925925924,0.8571428571428571
expanding,28,1897116,0,0.0,4518,177,71,4875,0.039176626826029216,0.4011299435028249
expanding,28,1897116,0,1.0,702,347,286,1233,0.4943019943019943,0.8242074927953891
expanding,28,1897116,1,0.0,12,0,0,12,0.0,
expanding,28,1897116,1,1.0,32,7,7,66,0.21875,1.0
rolling_7d,28,1897116,0,0.0,4533,178,72,4890,0.03926759320538275,0.4044943820224719
rolling_7d,28,1897116,0,1.0,687,346,285,1218,0.5036390101892285,0.8236994219653179
rolling_7d,28,1897116,1,0.0,12,0,0,12,0.0,
rolling_7d,28,1897116,1,1.0,32,7,7,66,0.21875,1.0
expanding,28,1897117,0,0.0,7166,410,211,8081,0.057214624616243374,0.5146341463414634
expanding,28,1897117,0,1.0,1135,594,495,5723,0.5233480176211454,0.8333333333333334
expanding,28,1897117,1,0.0,32,8,7,48,0.25,0.875
expanding,28,1897117,1,1.0,36,3,3,499,0.08333333333333333,1.0
rolling_7d,28,1897117,0,0.0,7186,417,218,8146,0.058029501809073195,0.5227817745803357
