classification_family,specification,event_id,market_id,large_action,dynamic_high_activity,actions,any_next,same_next,source_transaction_actions,any_next_action_5m,same_direction_given_next_5m
whale_volume,expanding_top1_primary,18,1897086,0,0,4180,167,112,4514,0.03995215311004785,0.6706586826347305
whale_volume,expanding_top1_primary,18,1897086,0,1,701,384,310,1265,0.5477888730385164,0.8072916666666666
whale_volume,expanding_top1_primary,18,1897086,1,0,7,0,0,8,0.0,
whale_volume,expanding_top1_primary,18,1897086,1,1,10,1,1,26,0.1,1.0
whale_volume,expanding_top1_primary,18,1897087,0,0,4969,196,94,5377,0.0394445562487422,0.47959183673469385
whale_volume,expanding_top1_primary,18,1897087,0,1,646,239,178,1011,0.369969040247678,0.7447698744769874
whale_volume,expanding_top1_primary,18,1897087,1,0,13,0,0,13,0.0,
whale_volume,expanding_top1_primary,18,1897087,1,1,25,3,2,30,0.12,0.6666666666666666
whale_volume,expanding_top1_primary,19,1897088,0,0,12085,515,263,12903,0.04261481175010343,0.5106796116504855
whale_volume,expanding_top1_primary,19,1897088,0,1,1939,1127,752,4105,0.5812274368231047,0.6672582076308784
whale_volume,expanding_top1_primary,19,1897088,1,0,25,1,1,27,0.04,1.0
whale_volume,expanding_top1_primary,19,1897088,1,1,61,10,6,857,0.16393442622950818,0.6
whale_volume,expanding_top1_primary,19,1897089,0,0,3548,109,65,3677,0.03072153325817362,0.5963302752293578
whale_volume,expanding_top1_primary,19,1897089,0,1,804,445,290,1469,0.5534825870646766,0.651685393258427
whale_volume,expanding_top1_primary,19,1897089,1,0,9,0,0,9,0.0,
whale_volume,expanding_top1_primary,19,1897089,1,1,16,7,4,29,0.4375,0.5714285714285714
whale_volume,expanding_top1_primary,19,1897090,0,0,2851,172,50,3061,0.06032970887407927,0.29069767441860467
whale_volume,expanding_top1_primary,19,1897090,0,1,678,317,221,889,0.46755162241887904,0.6971608832807571
whale_volume,expanding_top1_primary,19,1897090,1,0,4,0,0,4,0.0,
whale_volume,expanding_top1_primary,19,1897090,1,1,17,4,3,22,0.23529411764705882,0.75
whale_volume,expanding_top1_primary,20,1897091,0,0,4605,189,77,4813,0.04104234527687296,0.4074074074074074
whale_volume,expanding_top1_primary,20,1897091,0,1,677,262,165,1509,0.3870014771048744,0.6297709923664122
whale_volume,expanding_top1_primary,20,1897091,1,0,12,0,0,13,0.0,
whale_volume,expanding_top1_primary,20,1897091,1,1,27,3,1,695,0.1111111111111111,0.3333333333333333
whale_volume,expanding_top1_primary,20,1897092,0,0,2653,76,43,2773,0.028646814926498305,0.5657894736842105
whale_volume,expanding_top1_primary,20,1897092,0,1,521,183,127,1106,0.3512476007677543,0.6939890710382514
whale_volume,expanding_top1_primary,20,1897092,1,0,7,0,0,7,0.0,
whale_volume,expanding_top1_primary,20,1897092,1,1,9,0,0,18,0.0,
whale_volume,expanding_top1_primary,20,1897093,0,0,1897,58,33,2088,0.030574591460200317,0.5689655172413793
whale_volume,expanding_top1_primary,20,1897093,0,1,429,181,130,1180,0.4219114219114219,0.7182320441988951
