model,outcome,term,estimate,std_error,t_statistic,cluster_df,p_value,conf_low,conf_high
EXECUTED_300S_EXPANDING,executed_delta_5m,expanding_signed_log_ordinary_net_flow,4.681079994261737e-06,3.853540982274633e-06,1.2147476868141756,103,0.2272398108021811,-2.9615096662986287e-06,1.2323669654822102e-05
EXECUTED_300S_EXPANDING,executed_delta_5m,v5_lagged_30m_price_change,0.0198131956609171,0.005387478731995181,3.677637842586814,103,0.0003761829592728405,0.009128402261021493,0.03049798906081271
EXECUTED_300S_EXPANDING,executed_delta_5m,v5_baseline_price,-0.0036545548303561766,0.0016543312101166164,-2.2090829260838047,103,0.02938409977965619,-0.006935530602960145,-0.00037357905775220815
EXECUTED_300S_EXPANDING,executed_delta_5m,log_lagged_30m_volume,6.251699703790838e-05,8.55052888625239e-06,7.311477204459682,103,5.884313135951068e-11,4.55590396789543e-05,7.947495439686246e-05
EXECUTED_300S_EXPANDING,executed_delta_5m,log_minutes_to_kickoff,0.00018617892572574812,2.3717465930316146e-05,7.84986584455342,103,4.105761513733641e-12,0.0001391409259412661,0.00023321692551023015
EXECUTED_300S_ROLLING7,executed_delta_5m,rolling7_signed_log_large_net_flow,9.163351908329354e-05,9.042626621608406e-06,10.133506879994869,102,4.12295010364255e-17,7.369751205437881e-05,0.00010956952611220828
EXECUTED_300S_ROLLING7,executed_delta_5m,rolling7_signed_log_ordinary_net_flow,5.9323117203914725e-06,3.9023709742192825e-06,1.5201813870549057,102,0.13155927180521365,-1.8080226041258781e-06,1.3672646044908824e-05
EXECUTED_300S_ROLLING7,executed_delta_5m,v5_lagged_30m_price_change,0.02230325974765255,0.007555321083609923,2.9519936347954756,102,0.003918200363303903,0.007317316201392112,0.037289203293912984
EXECUTED_300S_ROLLING7,executed_delta_5m,v5_baseline_price,-0.004266745249026217,0.002064107024565236,-2.0671143493273676,102,0.04125557600658424,-0.008360891745417695,-0.00017259875263473876
EXECUTED_300S_ROLLING7,executed_delta_5m,log_lagged_30m_volume,6.484130533304097e-05,8.828475102076759e-06,7.34456455767634,102,5.2109981382883886e-11,4.733006682773128e-05,8.235254383835066e-05
EXECUTED_300S_ROLLING7,executed_delta_5m,log_minutes_to_kickoff,0.00019035929950168043,2.5996165053109424e-05,7.3225915865967846,102,5.8016451690330175e-11,0.00013879602937801985,0.000241922569625341
EXECUTED_900S_EXPANDING,executed_delta_5m,expanding_signed_log_large_net_flow,9.546295652995262e-05,8.345235172801825e-06,11.439217056587985,103,4.7604212017676846e-20,7.891215083203244e-05,0.00011201376222787279
EXECUTED_900S_EXPANDING,executed_delta_5m,expanding_signed_log_ordinary_net_flow,4.711508634304575e-06,3.635574769314212e-06,1.2959460149387378,103,0.1978905798066911,-2.4987964513193327e-06,1.1921813719928481e-05
EXECUTED_900S_EXPANDING,executed_delta_5m,v5_lagged_30m_price_change,0.02034634866051257,0.005181217108619244,3.9269438500589526,103,0.00015575023843536492,0.010070626542701223,0.030622070778323913
EXECUTED_900S_EXPANDING,executed_delta_5m,v5_baseline_price,-0.0028466077305572815,0.0014496757146558795,-1.9636168984406297,103,0.05227023558199341,-0.005721697596983124,2.8482135868560573e-05
EXECUTED_900S_EXPANDING,executed_delta_5m,log_lagged_30m_volume,6.575621010857042e-05,8.415030187928735e-06,7.8141383500794745,103,4.90615173933139e-12,4.9066982459665116e-05,8.244543775747572e-05
EXECUTED_900S_EXPANDING,executed_delta_5m,log_minutes_to_kickoff,0.00018753132199136318,2.28683174070577e-05,8.200486229629059,103,7.086662031405749e-13,0.00014217740802664695,0.0002328852359560794
EXECUTED_900S_ROLLING7,executed_delta_5m,rolling7_signed_log_large_net_flow,9.256612919580937e-05,8.977379354643287e-06,10.311041289341555,102,1.6684138522550448e-17,7.475953981155413e-05,0.00011037271858006461
EXECUTED_900S_ROLLING7,executed_delta_5m,rolling7_signed_log_ordinary_net_flow,5.898737710425732e-06,3.715917818355412e-06,1.5874241570381098,102,0.11551183825939532,-1.471767663491546e-06,1.326924308434301e-05
EXECUTED_900S_ROLLING7,executed_delta_5m,v5_lagged_30m_price_change,0.022418943081268267,0.007343098387790164,3.0530631481862844,102,0.0028889929953458578,0.007853942245925753,0.03698394391661078
EXECUTED_900S_ROLLING7,executed_delta_5m,v5_baseline_price,-0.0037792430341230332,0.001906886446074265,-1.9818920218890936,102,0.05018200293641333,-0.007561543258529158,3.057190283091253e-06
EXECUTED_900S_ROLLING7,executed_delta_5m,log_lagged_30m_volume,6.897206064821037e-05,9.050604405995486e-06,7.620713220270736,102,1.3420261127102701e-11,5.102022972179002e-05,8.692389157463073e-05
EXECUTED_900S_ROLLING7,executed_delta_5m,log_minutes_to_kickoff,0.00019268440726714485,2.5600061163467786e-05,7.526716676056715,102,2.1326937738929348e-11,0.0001419068073304868,0.0002434620072038029
