market_id,market_subtype,trade_count,volume_usdc,first_trade_time,last_trade_time,yes_outcome_won,event_id,stage,market_role,median_baseline_price,mean_baseline_price,sample_minutes,sample_gross_volume_usdc,median_minutes_to_kickoff,expanding_included,rolling7_included
1897054,Match winner,31266,9858720.15827661,2026-06-01 00:03:34.000 UTC,2026-06-14 05:33:37.000 UTC,1.0,7,Group stage,away_win,0.625,0.6330460624071322,4711,5758765.281899475,2934.0,1,1
1897055,Match winner,13329,2075356.163567956,2026-06-01 03:25:47.000 UTC,2026-06-14 08:26:19.000 UTC,1.0,8,Group stage,home_win,0.175,0.1793830787309048,1702,251812.1633272441,1373.5,1,1
1897056,Match draw,6682,724267.9721229882,2026-06-01 04:14:17.000 UTC,2026-06-14 07:57:13.000 UTC,0.0,8,Group stage,draw,0.255,0.2557280080889788,989,299525.52578851837,875.0,1,1
1897057,Match winner,21540,7296345.502915272,2026-06-01 02:38:48.000 UTC,2026-06-14 07:57:09.000 UTC,0.0,8,Group stage,away_win,0.565,0.5666929698708751,3485,5800903.224716049,2430.0,1,1
1897058,Match winner,20609,3993738.987046329,2026-06-01 00:22:26.000 UTC,2026-06-14 21:30:25.000 UTC,1.0,9,Group stage,home_win,0.9395,0.9396507270693512,3576,1807988.072116734,2532.0,1,1
1897059,Match draw,14783,1842457.4276429808,2026-06-01 03:16:43.000 UTC,2026-06-14 20:58:13.000 UTC,0.0,9,Group stage,draw,0.04,0.040619639376218326,2052,1261327.8990779277,1181.0,1,1
1897060,Match winner,24144,5052997.829247994,2026-06-01 08:13:41.000 UTC,2026-06-14 21:01:01.000 UTC,0.0,9,Group stage,away_win,0.0225,0.022300032020493115,3123,3684066.31032974,2459.0,1,1
1897061,Match winner,35996,10443641.510217242,2026-06-01 00:13:34.000 UTC,2026-06-15 00:21:37.000 UTC,0.0,10,Group stage,home_win,0.475,0.4761286437003132,4151,6833782.674839978,3150.0,1,1
1897062,Match draw,15710,1485792.9345669511,2026-06-01 04:15:13.000 UTC,2026-06-15 00:29:42.000 UTC,1.0,10,Group stage,draw,0.275,0.27005506607929514,1816,200293.64877277374,942.5,0,0
1897063,Match winner,20682,2231541.360790021,2026-06-01 01:24:02.000 UTC,2026-06-15 00:06:37.000 UTC,0.0,10,Group stage,away_win,0.255,0.2579951298701299,3696,1073336.6181830708,2765.5,1,1
1897064,Match winner,14748,2856644.6303731543,2026-06-01 05:05:04.000 UTC,2026-06-15 03:31:43.000 UTC,1.0,11,Group stage,home_win,0.285,0.280375,2000,1290973.6702895688,1131.5,1,1
1897065,Match draw,9607,1102310.7080179737,2026-06-01 04:15:36.000 UTC,2026-06-15 03:04:55.000 UTC,0.0,11,Group stage,draw,0.335,0.33324585635359116,1448,249343.74383596462,865.5,0,0
1897066,Match winner,22292,3322495.529216345,2026-06-01 00:14:20.000 UTC,2026-06-15 03:06:39.000 UTC,0.0,11,Group stage,away_win,0.395,0.3887360523278184,2599,1732840.5998661066,1692.0,1,1
1897067,Match winner,27955,10185845.5694595,2026-06-01 00:00:46.000 UTC,2026-06-15 06:26:42.000 UTC,1.0,12,Group stage,home_win,0.505,0.5053590604026845,2980,7397088.5229408825,1967.5,1,1
1897068,Match draw,5903,400994.86845099786,2026-06-01 02:13:44.000 UTC,2026-06-15 05:56:28.000 UTC,0.0,12,Group stage,draw,0.285,0.2812700661000944,1059,96371.03652385609,767.0,1,1
1897069,Match winner,6215,936220.740674988,2026-06-01 02:13:36.000 UTC,2026-06-15 05:57:37.000 UTC,0.0,12,Group stage,away_win,0.215,0.2151338582677165,1270,460208.14935680205,935.5,1,1
1897070,Match winner,32308,10629010.627203034,2026-06-01 01:57:47.000 UTC,2026-06-15 19:58:28.000 UTC,0.0,13,Group stage,home_win,0.905,0.9069118892968088,3541,4874646.849897848,2194.0,1,1
1897071,Match draw,17258,2271910.4249150106,2026-06-01 03:41:09.000 UTC,2026-06-15 20:25:16.000 UTC,1.0,13,Group stage,draw,0.0655,0.06505143229166667,1536,546858.2627543443,968.5,1,1
1897072,Match winner,13312,1907011.0110409723,2026-06-01 06:07:52.000 UTC,2026-06-15 19:58:34.000 UTC,0.0,13,Group stage,away_win,0.0295,0.029278309008555613,1987,1051900.2084738358,1270.0,1,1
1897073,Match winner,31056,18446333.770151313,2026-06-01 01:36:42.000 UTC,2026-06-16 01:52:49.000 UTC,0.0,14,Group stage,home_win,0.605,0.6015432098765432,3888,13023297.814737342,3014.0,1,1
1897074,Match draw,15994,1652920.4710619447,2026-06-01 01:13:04.000 UTC,2026-06-16 08:33:19.000 UTC,1.0,14,Group stage,draw,0.235,0.2386279069767442,1290,268205.42293521116,710.5,1,1
1897075,Match winner,14585,1325484.2222069614,2026-06-01 00:01:35.000 UTC,2026-06-15 22:59:40.000 UTC,0.0,14,Group stage,away_win,0.155,0.160209617755857,1622,469305.78561268735,1013.0,1,1
1897076,Match winner,13824,1842427.435820952,2026-06-01 00:01:49.000 UTC,2026-06-16 02:06:40.000 UTC,0.0,15,Group stage,home_win,0.115,0.11668527918781726,1970,409142.6863990386,1204.0,1,1
1897077,Match draw,12862,2703986.284562044,2026-06-01 15:04:42.000 UTC,2026-06-16 02:06:45.000 UTC,1.0,15,Group stage,draw,0.215,0.2195208655332303,1294,1280382.8310400483,760.5,0,0
1897078,Match winner,23002,6260885.640073874,2026-06-01 01:59:46.000 UTC,2026-06-16 02:00:07.000 UTC,0.0,15,Group stage,away_win,0.665,0.6673381568926123,3939,3861201.770351631,3650.0,1,1
1897079,Match winner,23849,12699263.68955403,2026-06-01 01:36:59.000 UTC,2026-06-16 03:22:58.000 UTC,0.0,16,Group stage,home_win,0.515,0.5194527177959791,2686,7883483.7311336575,1374.5,1,1
1897080,Match draw,12012,1757596.2031049528,2026-06-01 04:33:46.000 UTC,2026-06-16 03:30:37.000 UTC,1.0,16,Group stage,draw,0.275,0.27902047781569966,1465,439850.35619925335,901.0,1,1
1897081,Match winner,13276,1368540.5722099624,2026-06-01 05:15:22.000 UTC,2026-06-16 03:15:22.000 UTC,0.0,16,Group stage,away_win,0.195,0.2008041958041958,2002,382737.3770223123,1221.5,1,1
1897082,Match winner,49623,12522279.993195096,2026-06-01 00:17:18.000 UTC,2026-06-16 21:31:31.000 UTC,1.0,17,Group stage,home_win,0.665,0.6676812517700368,7062,5132558.308627356,5176.5,1,1
1897083,Match draw,14883,1035565.775981965,2026-06-01 05:15:25.000 UTC,2026-06-16 21:17:49.000 UTC,0.0,17,Group stage,draw,0.215,0.2145566778900112,1782,275014.3771217462,905.5,0,0
1897084,Match winner,12305,1651896.7954769644,2026-06-01 00:01:54.000 UTC,2026-06-16 21:17:44.000 UTC,0.0,17,Group stage,away_win,0.125,0.1261320754716981,2173,701597.6283726811,1272.0,1,1
1897085,Match winner,9873,1085779.615762981,2026-06-01 04:43:41.000 UTC,2026-06-17 00:12:47.000 UTC,0.0,18,Group stage,home_win,0.055,0.059839075249320035,2206,402623.2264138431,1291.0,1,1
1897086,Match draw,10890,650804.5718309785,2026-06-01 05:15:27.000 UTC,2026-06-17 00:12:26.000 UTC,0.0,18,Group stage,draw,0.125,0.12770833333333334,1728,116020.20569524959,919.5,0,0
